x,y,z,diameter_um,mass_kg,active,deposition_time_s,deposition_x,deposition_y,deposition_z,drift_distance_m,status
10.279115,-0.01833804,0.04779484,133.75113,1.2528277e-09,0,4.43,10.279115,-0.01833804,0.0,10.279131,deposited
2.9407794,-0.18256588,0.042682696,320.6566,1.7263122e-08,0,1.41,2.9407794,-0.18256588,0.0,2.946441,deposited
55.599815,-150.42447,29.593185,44.35472,4.5689723e-11,0,-1.0,0.0,0.0,0.0,0.0,drift_lost
7.122478,-0.077658944,0.046114355,176.9819,2.9025893e-09,0,3.07,7.122478,-0.077658944,0.0,7.1229014,deposited
4.4561167,-0.022451257,0.04889259,245.99913,7.794705e-09,0,1.96,4.4561167,-0.022451257,0.0,4.456173,deposited
3.508088,0.0758899,0.04326372,281.19254,1.16415375e-08,0,1.65,3.508088,0.0758899,0.0,3.508909,deposited
3.1366367,-0.008485718,0.045213304,308.89838,1.5432837e-08,0,1.46,3.1366367,-0.008485718,0.0,3.1366482,deposited
3.674129,-0.08775523,0.045761622,272.24725,1.0565484e-08,0,1.7,3.674129,-0.08775523,0.0,3.6751769,deposited
3.5928895,-0.023117201,0.044147756,277.8966,1.1236959e-08,0,1.66,3.5928895,-0.023117201,0.0,3.592964,deposited
4.0487247,0.0054825977,0.045200013,257.72855,8.963683e-09,0,1.85,4.0487247,0.0054825977,0.0,4.0487285,deposited
5.785986,0.0953919,0.04642023,203.8395,4.434696e-09,0,2.53,5.785986,0.0953919,0.0,5.7867723,deposited
1.9406736,-0.020102752,0.041606523,429.0183,4.134533e-08,0,0.98,1.9406736,-0.020102752,0.0,1.9407777,deposited
2.7428868,0.09775611,0.044407137,329.0536,1.8655156e-08,0,1.39,2.7428868,0.09775611,0.0,2.7446282,deposited
3.4372418,0.072006375,0.046435744,284.4878,1.2055629e-08,0,1.66,3.4372418,0.072006375,0.0,3.437996,deposited
5.7342505,-0.06716125,0.045628827,202.36507,4.3391593e-09,0,2.53,5.7342505,-0.06716125,0.0,5.734644,deposited
6.9859295,0.057466593,0.04841158,177.45848,2.9261005e-09,0,3.04,6.9859295,0.057466593,0.0,6.986166,deposited
-6.1075635,-48.527943,0.56169945,51.380436,7.1021924e-11,0,-1.0,0.0,0.0,0.0,0.0,drift_lost
4.3024545,-0.022039743,0.04653218,250.22021,8.202875e-09,0,1.94,4.3024545,-0.022039743,0.0,4.3025107,deposited
2.854589,-0.109516285,0.046145655,339.23196,2.0440398e-08,0,1.3,2.854589,-0.109516285,0.0,2.856689,deposited
3.755179,0.02025534,0.047964357,273.62216,1.0726368e-08,0,1.7,3.755179,0.02025534,0.0,3.7552335,deposited
3.278559,-0.03393879,0.039065022,298.06213,1.3864984e-08,0,1.54,3.278559,-0.03393879,0.0,3.2787347,deposited
2.9917455,-0.09630452,0.039640576,315.79538,1.6489833e-08,0,1.42,2.9917455,-0.09630452,0.0,2.993295,deposited
4.5038276,0.057394497,0.049408555,238.19005,7.0757062e-09,0,2.03,4.5038276,0.057394497,0.0,4.5041933,deposited
4.368359,0.0878397,0.048476655,248.35585,8.020882e-09,0,1.94,4.368359,0.0878397,0.0,4.369242,deposited
2.3158445,0.023125377,0.03789224,372.11722,2.6979771e-08,0,1.17,2.3158445,0.023125377,0.0,2.31596,deposited
6.998966,0.025243541,0.049440328,179.48619,3.0275553e-09,0,3.05,6.998966,0.025243541,0.0,6.9990115,deposited
4.2528434,0.10473999,0.04395895,255.41093,8.724037e-09,0,1.88,4.2528434,0.10473999,0.0,4.254133,deposited
5.0207953,0.055985596,0.04381157,225.29091,5.987285e-09,0,2.21,5.0207953,0.055985596,0.0,5.021107,deposited
5.1032457,-0.031041326,0.04583488,221.22592,5.6690084e-09,0,2.27,5.1032457,-0.031041326,0.0,5.10334,deposited
4.9028745,0.07851458,0.049391255,231.03754,6.4572347e-09,0,2.13,4.9028745,0.07851458,0.0,4.903503,deposited
3.452583,-0.08582428,0.045630082,286.0341,1.22532775e-08,0,1.61,3.452583,-0.08582428,0.0,3.4536498,deposited
3.6062427,-0.02549841,0.042744912,275.89944,1.0996423e-08,0,1.67,3.6062427,-0.02549841,0.0,3.6063328,deposited
3.6257863,-0.004952886,0.042554155,278.0181,1.1251699e-08,0,1.66,3.6257863,-0.004952886,0.0,3.6257896,deposited
2.3620617,-0.055992633,0.036834635,365.4264,2.5550458e-08,0,1.19,2.3620617,-0.055992633,0.0,2.3627253,deposited
